latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.71626,123.25758,318.36,1.21,1.1,2024-05-21,0219,T,42,6.1NRT,299.82,11.22,D
41.67171,123.16991,314.4,1.21,1.09,2024-05-21,0219,T,38,6.1NRT,297.7,7.13,D
41.61837,123.34007,315.25,1.23,1.1,2024-05-21,0219,T,33,6.1NRT,300.06,8.39,D
41.39328,123.9578,310.66,1.32,1.14,2024-05-21,0219,T,58,6.1NRT,297.77,9.71,D
41.51096,122.82719,320.07,1.17,1.08,2024-05-21,0219,T,68,6.1NRT,301.38,13.07,D
41.39948,123.34886,318.6,1.24,1.11,2024-05-21,0219,T,73,6.1NRT,298.26,13.33,D
41.39693,123.36312,313.09,1.24,1.11,2024-05-21,0219,T,64,6.1NRT,299.29,7.36,D
41.39298,123.272,323.16,1.23,1.1,2024-05-21,0219,T,78,6.1NRT,296.53,18.69,D
41.38343,123.269,323.54,1.23,1.1,2024-05-21,0219,T,78,6.1NRT,296.44,19.31,D
41.36624,123.30846,318.67,1.24,1.1,2024-05-21,0219,T,71,6.1NRT,296.98,12.71,D
41.36368,123.32264,315.08,1.24,1.11,2024-05-21,0219,T,67,6.1NRT,299.2,9.18,D
41.3392,123.21889,315.56,1.23,1.1,2024-05-21,0219,T,61,6.1NRT,301.2,8.31,D
41.38996,122.38619,318.29,1.13,1.06,2024-05-21,0219,T,39,6.1NRT,301.26,7.43,D
41.38295,122.37036,317.6,1.13,1.06,2024-05-21,0219,T,35,6.1NRT,300.44,6.52,D
41.19164,122.82516,316.2,1.19,1.08,2024-05-21,0219,T,64,6.1NRT,301.22,8.28,D
41.08924,122.93243,320.5,1.2,1.09,2024-05-21,0219,T,68,6.1NRT,303.94,9.24,D
41.03246,122.35162,314.67,1.14,1.07,2024-05-21,0219,T,65,6.1NRT,300.03,7.67,D
40.89318,122.70248,321.1,1.19,1.08,2024-05-21,0219,T,32,6.1NRT,302.92,10.86,D
40.8903,122.69496,321.11,1.19,1.08,2024-05-21,0219,T,69,6.1NRT,303.47,11.69,D
40.88796,122.70852,319.37,1.19,1.08,2024-05-21,0219,T,45,6.1NRT,303.22,9.32,D
40.9793,122.05713,313.77,1.12,1.05,2024-05-21,0219,T,52,6.1NRT,298.78,6.81,D
40.83615,122.72144,318.83,1.19,1.09,2024-05-21,0219,T,61,6.1NRT,302.22,9.08,D
40.83351,122.25305,311.57,1.14,1.06,2024-05-21,0219,T,45,6.1NRT,295.27,4.63,D
40.84591,122.0663,316.1,1.12,1.06,2024-05-21,0219,T,44,6.1NRT,301.41,8.9,D
40.68893,122.55135,316.28,1.18,1.08,2024-05-21,0219,T,48,6.1NRT,301.51,7.24,D
40.68629,122.3966,316.68,1.16,1.07,2024-05-21,0219,T,53,6.1NRT,298.57,10.51,D
40.43918,122.31946,330.05,1.16,1.07,2024-05-21,0219,T,85,6.1NRT,301.44,26.39,D
40.24469,122.19498,322.39,1.16,1.07,2024-05-21,0219,T,22,6.1NRT,302.85,8.73,D
40.22922,122.19769,316.79,1.16,1.07,2024-05-21,0219,T,38,6.1NRT,301.32,8.35,D
40.69206,118.93697,311.69,1,1,2024-05-21,0219,T,58,6.1NRT,299.41,5.9,D
41.17403,114.84235,326.53,1.35,1.15,2024-05-21,0219,T,67,6.1NRT,310.29,12.28,D
39.70718,122.93744,313.42,1.27,1.12,2024-05-21,0219,T,50,6.1NRT,295.07,8.81,D
39.6832,122.90018,315.25,1.26,1.12,2024-05-21,0219,T,44,6.1NRT,300.27,11.81,D
39.70145,122.04237,311.48,1.16,1.07,2024-05-21,0219,T,39,6.1NRT,297.43,7.84,D
39.69175,121.89709,310.81,1.15,1.07,2024-05-21,0219,T,31,6.1NRT,297.91,5.86,D
39.66478,121.99802,316.15,1.16,1.07,2024-05-21,0219,T,37,6.1NRT,297.94,10.21,D
40.11019,118.73117,312.66,1,1,2024-05-21,0219,T,58,6.1NRT,295.6,8.25,D
39.59282,121.93066,311.28,1.15,1.07,2024-05-21,0219,T,21,6.1NRT,297.05,6.89,D
40.17647,118.05663,312.53,1.02,1.01,2024-05-21,0219,T,60,6.1NRT,296.44,6.71,D
39.96595,117.42155,313.33,1.04,1.02,2024-05-21,0219,T,35,6.1NRT,297.94,4.54,D
39.75692,118.09214,318.3,1.01,1.01,2024-05-21,0219,T,69,6.1NRT,298.67,9.64,D
39.51317,117.14698,311.62,1.05,1.02,2024-05-21,0219,T,19,6.1NRT,296.55,5.32,D
57.95263,107.05167,300.14,4.64,1.97,2024-05-21,0213,T,29,6.1NRT,282.06,52.12,D
37.40577,121.6412,320.71,1.21,1.09,2024-05-21,0219,T,63,6.1NRT,302.67,14.04,D
37.42109,121.49493,318.71,1.19,1.08,2024-05-21,0219,T,45,6.1NRT,299.06,11.83,D
37.41661,121.52095,315.6,1.19,1.09,2024-05-21,0219,T,34,6.1NRT,298.05,8.16,D
37.41436,121.534,315.59,1.19,1.09,2024-05-21,0219,T,59,6.1NRT,297.87,8.93,D
35.45495,128.76898,308.48,3.57,1.77,2024-05-21,0219,T,33,6.1NRT,291.79,39.18,D
37.08572,119.92712,315.26,1.06,1.03,2024-05-21,0219,T,38,6.1NRT,299.66,6.66,D
36.87241,117.24972,315.5,1.01,1.01,2024-05-21,0219,T,56,6.1NRT,296.64,5.43,D
36.53988,119.21266,315.68,1.03,1.01,2024-05-21,0219,T,55,6.1NRT,296.74,5.13,D
36.45296,119.17493,317.58,1.03,1.01,2024-05-21,0219,T,50,6.1NRT,297.24,7.36,D
36.10333,119.39203,316.95,1.04,1.02,2024-05-21,0219,T,48,6.1NRT,299.49,7.53,D
36.10157,119.40327,316.75,1.04,1.02,2024-05-21,0219,T,29,6.1NRT,298.72,7.23,D
36.04801,119.50744,316.9,1.05,1.02,2024-05-21,0219,T,42,6.1NRT,297.4,8.52,D
35.94785,119.3779,319.85,1.04,1.02,2024-05-21,0219,T,38,6.1NRT,297.85,9.1,D
35.34586,115.98489,318.54,1.05,1.03,2024-05-21,0219,T,70,6.1NRT,300.61,8.48,D
33.75086,118.78403,312.29,1.05,1.02,2024-05-21,0221,T,61,6.1NRT,290.81,7.45,D
33.62022,119.19759,314.33,1.08,1.04,2024-05-21,0221,T,49,6.1NRT,287.17,10.16,D
34.07883,108.40136,313.13,2.73,1.58,2024-05-21,0221,T,44,6.1NRT,299.36,23.82,D
48.77338,139.98828,322.01,1.82,1.32,2024-05-21,0336,A,77,6.1NRT,288.47,47.79,D
48.92051,135.0731,335.07,3.14,1.68,2024-05-21,0338,A,65,6.1NRT,288.38,170.01,D
48.90969,135.03358,326.69,3.16,1.68,2024-05-21,0338,A,49,6.1NRT,291.17,113.79,D
50.17548,137.04979,318.18,2.29,1.46,2024-05-21,0338,A,0,6.1NRT,303.95,40.7,D
50.19262,137.06874,314.73,2.28,1.46,2024-05-21,0338,A,0,6.1NRT,301.13,30.83,D
49.95069,136.06032,308.76,2.6,1.55,2024-05-21,0338,A,68,6.1NRT,293.15,26.55,D
49.91553,135.92528,336.74,2.64,1.56,2024-05-21,0338,A,90,6.1NRT,297.68,137.29,D
49.93715,135.95055,332.23,2.63,1.56,2024-05-21,0338,A,88,6.1NRT,292.31,112.99,D
49.92835,135.91675,353.84,2.64,1.56,2024-05-21,0338,A,97,6.1NRT,296.96,273.53,D
49.91951,135.88278,323.08,2.65,1.56,2024-05-21,0338,A,77,6.1NRT,296.58,65.84,D
50.33465,136.90704,311.91,2.29,1.47,2024-05-21,0338,A,33,6.1NRT,296.45,22.81,D
50.3321,136.90407,310.35,2.29,1.47,2024-05-21,0338,A,49,6.1NRT,296.03,20.89,D
50.34419,136.89607,325.1,2.29,1.47,2024-05-21,0338,A,84,6.1NRT,297.7,64.16,D
51.04909,135.07658,314.54,2.65,1.56,2024-05-21,0338,A,39,6.1NRT,289.54,47.65,D
51.06229,135.06924,340.5,2.65,1.56,2024-05-21,0338,A,92,6.1NRT,291.46,175.37,D
51.08371,135.09308,346.39,2.64,1.56,2024-05-21,0338,A,94,6.1NRT,292.46,218.24,D
51.10487,135.11618,332.62,2.63,1.56,2024-05-21,0338,A,88,6.1NRT,289.74,125.6,D
51.09594,135.08215,328.06,2.64,1.56,2024-05-21,0338,A,85,6.1NRT,292.23,102.01,D
51.11007,135.10449,325.21,2.63,1.56,2024-05-21,0338,A,83,6.1NRT,290.57,92.2,D
51.1016,135.07283,304.18,2.64,1.56,2024-05-21,0338,A,43,6.1NRT,290.74,21.12,D
51.65151,136.33084,309.64,2.21,1.44,2024-05-21,0338,A,30,6.1NRT,295.9,16.14,D
51.6443,136.30139,314.5,2.22,1.44,2024-05-21,0338,A,67,6.1NRT,296.76,28.59,D
51.65074,136.32408,312.7,2.21,1.44,2024-05-21,0338,A,73,6.1NRT,295.85,25.75,D
51.6434,136.29477,309.52,2.22,1.44,2024-05-21,0338,A,69,6.1NRT,296.81,18.84,D
60.83986,97.35786,308.9,1.26,1.12,2024-05-21,0351,T,68,6.1NRT,287.03,13.96,D
60.79968,97.24782,308.3,1.27,1.12,2024-05-21,0351,T,67,6.1NRT,285.96,13.64,D
60.43187,96.49922,328.21,1.32,1.14,2024-05-21,0351,T,85,6.1NRT,287.85,40.97,D
60.42969,96.52291,332.39,1.32,1.14,2024-05-21,0351,T,88,6.1NRT,287.79,49.21,D
60.42187,96.49541,302.16,1.32,1.14,2024-05-21,0351,T,51,6.1NRT,287.55,8.56,D
60.41969,96.51915,308.07,1.32,1.14,2024-05-21,0351,T,66,6.1NRT,288.02,14.24,D
60.43556,96.22918,300.52,1.35,1.15,2024-05-21,0351,T,34,6.1NRT,287.77,5.26,D
60.43341,96.2532,339.33,1.35,1.15,2024-05-21,0351,T,91,6.1NRT,292.65,65.58,D
58.44553,107.60369,321.19,1.22,1.1,2024-05-21,0351,T,81,6.1NRT,290.4,25.48,D
58.43422,107.66267,301.74,1.23,1.1,2024-05-21,0351,T,48,6.1NRT,289.04,5.26,D
58.42499,107.6563,303.21,1.23,1.1,2024-05-21,0351,T,55,6.1NRT,289.22,6.46,D
58.418,107.58406,304.13,1.22,1.1,2024-05-21,0351,T,56,6.1NRT,285.35,7.52,D
58.4238,107.39166,303.8,1.21,1.09,2024-05-21,0351,T,30,6.1NRT,289.68,6.06,D
58.41466,107.38527,314.25,1.21,1.09,2024-05-21,0351,T,75,6.1NRT,289.2,15.69,D
58.14327,107.10934,318.78,1.2,1.09,2024-05-21,0351,T,79,6.1NRT,288.26,21.72,D
58.07924,107.17381,343.01,1.21,1.09,2024-05-21,0351,T,93,6.1NRT,290.38,63.86,D
58.07556,107.19297,316.04,1.21,1.09,2024-05-21,0351,T,76,6.1NRT,288.55,18.37,D
58.06653,107.11539,304.78,1.21,1.09,2024-05-21,0351,T,60,6.1NRT,288.9,7.95,D
58.05736,107.10919,327.41,1.21,1.09,2024-05-21,0351,T,85,6.1NRT,288.51,33.75,D
57.95643,107.07836,322.8,1.21,1.09,2024-05-21,0351,T,82,6.1NRT,289.85,27.6,D
57.95279,107.09751,302.85,1.21,1.09,2024-05-21,0351,T,54,6.1NRT,288.39,7.05,D
57.94722,107.07233,327.96,1.21,1.09,2024-05-21,0351,T,85,6.1NRT,289.32,34.19,D
58.0369,106.54097,307.68,1.16,1.07,2024-05-21,0351,T,66,6.1NRT,291.28,11.03,D
58.03347,106.55946,304.8,1.17,1.07,2024-05-21,0351,T,60,6.1NRT,290.83,8.54,D
57.98469,106.82011,303.65,1.19,1.08,2024-05-21,0351,T,57,6.1NRT,290.53,6.88,D
57.87817,105.89091,333,1.13,1.06,2024-05-21,0351,T,88,6.1NRT,289.19,40.47,D
57.86923,105.88522,305.56,1.13,1.06,2024-05-21,0351,T,62,6.1NRT,289.75,9.22,D
57.74329,105.94039,319.61,1.14,1.06,2024-05-21,0351,T,79,6.1NRT,289.99,19.99,D
57.73999,105.9585,321.25,1.14,1.06,2024-05-21,0351,T,81,6.1NRT,289.73,21.89,D
57.58752,105.90823,303.92,1.14,1.07,2024-05-21,0351,T,39,6.1NRT,289.68,5.28,D
57.56288,105.93324,306.98,1.15,1.07,2024-05-21,0351,T,65,6.1NRT,290.13,7.92,D
55.45,105.94824,310.11,1.26,1.12,2024-05-21,0353,T,69,6.1NRT,292.95,12.25,D
55.44699,105.80165,307.02,1.25,1.11,2024-05-21,0353,T,65,6.1NRT,287.92,10.97,D
55.35107,105.62904,302.43,1.24,1.11,2024-05-21,0353,T,52,6.1NRT,287.85,7.35,D
55.23145,105.86871,301.09,1.27,1.12,2024-05-21,0353,T,40,6.1NRT,287.55,6.11,D
55.24044,105.59822,304.65,1.24,1.11,2024-05-21,0353,T,59,6.1NRT,287.51,9.35,D
55.23693,105.61658,323.98,1.25,1.11,2024-05-21,0353,T,83,6.1NRT,288.28,31.14,D
56.88729,92.82905,307.95,1.61,1.25,2024-05-21,0353,T,60,6.1NRT,291.21,13.35,D
56.88686,92.82302,310.25,1.61,1.25,2024-05-21,0353,T,64,6.1NRT,290.66,16.45,D
54.92321,105.0922,302.33,1.22,1.1,2024-05-21,0353,T,49,6.1NRT,289.21,6.31,D
54.91995,105.10934,307.47,1.22,1.1,2024-05-21,0353,T,65,6.1NRT,288.32,10.43,D
37.32702,97.39246,327.5,1.27,1.12,2024-05-21,0400,T,78,6.1NRT,305.35,18.12,D
35.87586,104.15953,318.27,3.53,1.77,2024-05-21,0400,T,69,6.1NRT,300.88,39.65,D
34.52469,87.69523,310.51,1.53,1.22,2024-05-21,0400,T,33,6.1NRT,294.61,9.06,D
29.67972,91.14422,324.87,1,1,2024-05-21,0402,T,78,6.1NRT,305.57,8.2,D
28.07502,94.16501,311.12,1.22,1.1,2024-05-21,0402,T,27,6.1NRT,294.41,7.18,D
27.74947,94.09046,309.29,1.22,1.1,2024-05-21,0402,T,48,6.1NRT,294.6,6.72,D
27.59193,94.22147,308.6,1.24,1.11,2024-05-21,0402,T,49,6.1NRT,293.85,5.49,D
